137	4605951	call	1.9833333333333334	2
137	598185	call	8.25	18
137	6105712	call	1.58	2
137	1930651	call	1.08	5
137	7949228	call	5.88	6
137	2212302	call	123.6	115
137	1158924	call	237.6	285
1298	3722339	contact	0	0
1298	3722339	call	6.1	10
1298	3722339	call	2.08	4
1298	5887861	call	1.45	4
2038	1021581	call	10.05	4
2038	1021581	call	8.27	3
4000	1956673	call	5.7	2
4000	4000	contact	0	0
4000	9336909	call	1.18	2
4000	8358207	call	4.02	2
4000	3469392	call	34.966666666667	44
4000	7919938	call	3.68	2
4000	9477525	call	1.33	3
4000	9336909	contact	0	0
4004	6201377	call	167.05	67
4385	6703058	call	6.47	2
4462	3404424	call	1.3	2
4462	9458045	call	1.3333333333333	2
4462	3698237	call	1.2333333333333	2
4462	1564342	call	1.9833333333333	3
4462	17793	call	3.75	6
4462	1116009	call	5.1	16
4462	8192677	call	38.533333333333	35
4462	3073008	call	39.633333333333	44
4462	4898100	call	183.26666666667	67
4462	8192677	call	53	38
4462	3404424	call	6.12	5
4648	4042160	call	8.1666666666667	5
6055	7965108	call	33.15	20
6055	9428971	call	27.15	29
6055	7965108	call	15.466666666667	11
6055	9428971	call	20.433333333333	28
11307	7993418	call	1.7333333333333334	2
11307	5524393	call	1.7333333333333334	3
11307	1650379	call	8.166666666666666	6
11307	2554904	call	11.45	10
11307	1650379	call	3.9	4
11733	6545234	contact	0	0
11733	1448685	call	24.766666666666666	17
11733	3936479	call	1.2	3
11733	8147515	call	3.93	2
11733	7912251	call	20.12	12
11733	7912251	contact	0	0
11733	8701066	call	2.5	2
11936	2698367	call	9.5	12
11936	5829097	call	1.65	3
11936	1583838	call	1.03	5
11936	4391113	call	1.9833333333333334	2
11936	7295587	call	1.6166666666666667	3
11936	6092633	contact	0	0
11936	755196	call	1.17	2
11936	2478838	call	2.62	3
11936	6193018	call	1.12	3
16060	1369139	call	13.65	25
16060	4954534	call	3.433333333333333	3
16060	1369139	call	31.683333333333334	51
16060	4954534	call	3.43	3
17793	3178339	call	18.52	12
17793	4462	call	3.75	6
17793	2875387	call	2.9	5
17793	6962782	call	16.77	13
17793	7816123	call	35.17	28
17793	2912626	call	3.0	5
17793	3686996	call	7.43	9
17793	5404878	call	44.58	30
17793	7292377	call	33.53	46
17793	151415	call	5.83	4
17793	7912251	contact	0	0
17793	8094153	call	4.08	5
17793	4317076	call	298.35	112
17793	247107	call	2.03	4
20903	8042122	call	6.0666666666667	2
20903	2703647	call	37.15	31
20903	2020378	call	3.25	2
20903	432025	call	13.4	18
20903	3710949	call	12.63	35
22496	3956366	call	39.87	4
22496	7776293	call	6.8	7
22662	1020789	call	4.833333333333333	6
22662	1020789	call	4.816666666666666	6
22789	1857484	call	12.02	4
23549	7855359	contact	0	0
23549	7855359	call	109.25	85
23549	6423966	call	15.966666666667	13
23549	4278124	call	122.61666666667	95
23549	4949703	call	1.7166666666667	2
23549	8980200	call	2.9833333333333334	3
23549	5143872	call	9.183333333333334	7
23549	4278124	call	23.05	13
23549	6232947	call	25.566666666666666	20
23549	7855359	call	69.03333333333333	66
23549	5143872	call	11.38	10
23549	5816097	call	66.9	55
23549	4834706	contact	0	0
23549	6384807	contact	0	0
23627	7252071	call	3.82	7
23627	4590968	call	6.9	12
23627	1902297	call	237.63	239
23627	8741040	call	4.52	8
23627	6561750	call	15.28	10
24309	5758569	contact	0	0
24309	2600816	contact	0	0
24309	24309	contact	0	0
24309	559971	call	6.25	4
24309	6955800	call	4.35	4
24309	4419627	call	10.22	6
24309	4042160	call	7.43	7
24309	5758569	call	9.9	11
24309	559971	call	6.266666666666667	4
24309	5758569	call	9.866666666666667	11
24551	3450393	call	7.8166666666667	18
24551	7433467	contact	0	0
24551	7433467	call	4.866666666666666	13
24551	568495	contact	0	0
28116	3324906	call	23.233333333333	46
28116	1243914	call	2.1333333333333	5
28116	3775384	call	1.8	3
28116	1655166	call	1.13	3
28116	487227	call	11.83	4
28116	4485856	call	41.35	61
28116	7779104	call	85.42	93
28116	5400521	call	3.75	3
28116	962008	call	2.98	5
28116	3687505	call	2.27	4
28116	8883642	call	40.23	73
28116	7779104	call	20.82	42
29051	6545234	call	10.63	7
29051	6488319	call	5.18	2
29051	2626252	call	4	3
29051	6859140	call	4.97	4
29051	5407533	call	11.033333333333	11
29051	5349275	contact	0	0
29051	5349275	call	22.5	21
29051	4508382	call	3.0333333333333	3
29051	4579035	call	1.9	2
29051	6940770	call	5.78	7
29051	6894186	call	6.6166666666667	4
29051	72520	contact	0	0
29051	72520	call	1.97	4
29051	5071506	call	2.45	2
29051	1928681	call	3.65	3
29051	2407340	call	1.5	2
29051	1928681	call	3.1166666666666667	2
29051	7888293	call	1.0833333333333333	2
29051	2626252	call	3.966666666666667	3
29051	2750413	call	3.8	4
29051	9171522	call	5.683333333333334	7
29051	6244624	call	8.416666666666666	7
29051	4579035	call	16.966666666666665	14
29051	5349275	call	20.316666666666666	19
29051	221150	call	59.516666666666666	29
29051	72520	call	50.68333333333333	30
29051	8762025	call	51.166666666666664	52
31376	6350754	call	2.5166666666666666	4
31376	5721639	call	3.15	2
31376	2888725	contact	0	0
31376	9106321	call	46.166666666666664	28
31376	9106321	call	3.58	2
31376	5669149	call	3.02	2
31376	7348013	call	2.0	2
31376	2526210	call	1.93	2
31376	788760	call	1.42	2
31376	2796918	call	3.33	4
31376	52509	call	64.9	28
31376	7226865	call	59.22	47
31376	2625861	call	302.68	142
31376	788760	call	1.55	2
31376	2625861	call	7.85	5
32942	2117539	call	1.75	4
32942	2117049	call	31.516666666666666	21
32942	852736	call	2.75	9
32942	1538780	call	2.966666666666667	7
32942	9481681	contact	0	0
32942	9481681	call	21.1	29
32942	5814169	contact	0	0
32942	5814169	call	32.88	62
32942	7083860	call	64.616666666667	46
32942	4269401	call	4.816666666666666	9
32942	8727477	call	1.83	2
32942	3072748	call	1.43	3
